epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1462.53,2.3988,2.13724,0.00112,0.89375,0.85838,0.86294,0.45351,2.39912,2.06184,0.00182,0.000775822,0.000775822,0.000775822
110,1474.59,2.41627,2.15258,0.00115,0.86874,0.85112,0.86466,0.45732,2.36229,2.11461,0.0018,0.00076757,0.00076757,0.00076757
111,1486.48,2.43894,2.14542,0.00112,0.8587,0.82298,0.83726,0.46223,2.3428,2.11264,0.00179,0.000759318,0.000759318,0.000759318
112,1498.37,2.4116,2.09593,0.00114,0.86877,0.8438,0.86832,0.46615,2.39562,2.05781,0.00183,0.000751067,0.000751067,0.000751067
113,1510.55,2.41821,2.14759,0.00116,0.85268,0.83689,0.87147,0.4572,2.39042,2.04784,0.00182,0.000742815,0.000742815,0.000742815
114,1523.6,2.4133,2.10468,0.00115,0.84926,0.87683,0.85557,0.44641,2.40407,2.05342,0.00183,0.000734564,0.000734564,0.000734564
115,1536.18,2.46086,2.13542,0.00111,0.87999,0.86249,0.87801,0.45812,2.36561,2.03949,0.00179,0.000726312,0.000726312,0.000726312
116,1550.48,2.40147,2.13122,0.00114,0.87945,0.82877,0.85952,0.45755,2.36904,2.01399,0.0018,0.00071806,0.00071806,0.00071806
117,1563.26,2.40272,2.11673,0.00112,0.87198,0.86507,0.86989,0.46181,2.38897,2.05843,0.00183,0.000709809,0.000709809,0.000709809
118,1576.05,2.3985,2.14374,0.00113,0.87823,0.85206,0.86344,0.46318,2.41733,1.94286,0.00184,0.000701557,0.000701557,0.000701557
119,1588.91,2.4232,2.11708,0.0011,0.8734,0.84798,0.86688,0.46742,2.37985,2.05599,0.00181,0.000693305,0.000693305,0.000693305
120,1602.34,2.4126,2.08929,0.00114,0.84406,0.86408,0.87138,0.47571,2.38276,2.10128,0.00181,0.000685054,0.000685054,0.000685054
121,1614.82,2.39032,2.03635,0.00112,0.87158,0.85159,0.87527,0.45831,2.37554,1.99838,0.00182,0.000676802,0.000676802,0.000676802
122,1627.09,2.38219,2.06963,0.00112,0.84724,0.87251,0.86606,0.46337,2.38099,2.07598,0.00182,0.00066855,0.00066855,0.00066855
123,1639.5,2.3796,2.09205,0.00112,0.8541,0.85771,0.86254,0.47234,2.37123,2.04352,0.0018,0.000660299,0.000660299,0.000660299
124,1652.73,2.40333,2.02704,0.00112,0.88631,0.82757,0.85816,0.46825,2.38795,2.00298,0.00182,0.000652047,0.000652047,0.000652047
125,1665.7,2.40409,2.0257,0.00114,0.88256,0.86061,0.87544,0.45825,2.39223,1.96903,0.00181,0.000643795,0.000643795,0.000643795
126,1678.14,2.40127,2.13122,0.00112,0.86557,0.86202,0.88403,0.47016,2.38177,2.09715,0.00182,0.000635544,0.000635544,0.000635544
127,1690.34,2.36576,2.0547,0.00111,0.90143,0.84993,0.87514,0.45898,2.39841,1.97873,0.00184,0.000627292,0.000627292,0.000627292
128,1702.09,2.36658,2.02495,0.00111,0.88526,0.86967,0.87968,0.45566,2.43242,1.90036,0.00187,0.00061904,0.00061904,0.00061904
129,1714.67,2.35504,2.05901,0.0011,0.88331,0.86149,0.87491,0.4686,2.34907,2.0799,0.00179,0.000610789,0.000610789,0.000610789
130,1726.7,2.36347,2.02568,0.00113,0.87853,0.89093,0.88145,0.46288,2.41887,1.98099,0.00186,0.000602537,0.000602537,0.000602537
131,1738.54,2.36694,2.08877,0.0011,0.86943,0.85007,0.86196,0.464,2.35352,2.04501,0.0018,0.000594286,0.000594286,0.000594286
132,1750.65,2.35491,2.01865,0.0011,0.87552,0.86137,0.86589,0.47237,2.37384,2.088,0.00183,0.000586034,0.000586034,0.000586034
133,1762.91,2.37038,2.04715,0.00112,0.89096,0.83824,0.86126,0.45708,2.36997,2.0063,0.00181,0.000577782,0.000577782,0.000577782
134,1774.94,2.33246,2.05971,0.00112,0.86759,0.86033,0.87396,0.46214,2.37068,2.04279,0.00181,0.000569531,0.000569531,0.000569531
135,1786.82,2.38078,2.04286,0.00108,0.86006,0.87091,0.86186,0.46205,2.38269,1.96605,0.00183,0.000561279,0.000561279,0.000561279
136,1798.66,2.36495,2.07861,0.00112,0.86236,0.86823,0.86227,0.46072,2.35426,2.05864,0.00179,0.000553027,0.000553027,0.000553027
137,1810.7,2.34684,2.03324,0.00109,0.90405,0.85298,0.87866,0.46719,2.37427,2.07389,0.00182,0.000544776,0.000544776,0.000544776
138,1822.75,2.36854,1.99361,0.00108,0.90962,0.85705,0.87539,0.46388,2.40918,1.9776,0.00186,0.000536524,0.000536524,0.000536524
139,1834.54,2.36117,2.00607,0.00111,0.89541,0.86436,0.88072,0.47915,2.36191,1.99192,0.00182,0.000528272,0.000528272,0.000528272
140,1846.45,2.38116,2.08024,0.00111,0.87453,0.85023,0.87375,0.46511,2.39626,2.04791,0.00184,0.000520021,0.000520021,0.000520021
141,1860.96,2.36135,2.07717,0.00112,0.85705,0.85769,0.86636,0.46384,2.39607,2.06178,0.00183,0.000511769,0.000511769,0.000511769
142,1873.7,2.3319,2.02519,0.0011,0.86459,0.85056,0.87684,0.46544,2.41588,1.94465,0.00186,0.000503517,0.000503517,0.000503517
143,1887,2.37821,1.94624,0.0011,0.89788,0.86664,0.88863,0.46956,2.40767,1.92582,0.00185,0.000495266,0.000495266,0.000495266
144,1899.2,2.33582,1.99579,0.0011,0.89346,0.86857,0.88355,0.45454,2.43302,1.92048,0.00186,0.000487014,0.000487014,0.000487014
145,1911.46,2.3536,2.02816,0.00111,0.8816,0.84544,0.862,0.46166,2.4199,1.94514,0.00185,0.000478762,0.000478762,0.000478762
146,1923.45,2.33351,1.98318,0.00108,0.89458,0.85928,0.88217,0.46586,2.42584,2.03846,0.00188,0.000470511,0.000470511,0.000470511
147,1935.78,2.33785,2.03168,0.00107,0.86505,0.87385,0.87647,0.46543,2.39672,1.96541,0.00183,0.000462259,0.000462259,0.000462259
148,1948.49,2.31903,1.97485,0.00109,0.91007,0.87198,0.88562,0.47142,2.4094,1.95904,0.00187,0.000454007,0.000454007,0.000454007
149,1960.73,2.39611,1.96864,0.0011,0.89817,0.85304,0.87318,0.4692,2.41529,1.92865,0.00185,0.000445756,0.000445756,0.000445756
150,1972.79,2.35291,2.00943,0.00108,0.90123,0.87262,0.88503,0.47239,2.39877,1.99525,0.00184,0.000437504,0.000437504,0.000437504
151,1985.28,2.32402,1.98501,0.00107,0.89602,0.8766,0.89054,0.47702,2.4104,1.9521,0.00186,0.000429253,0.000429253,0.000429253
152,1997.63,2.31064,1.99996,0.00109,0.90085,0.8472,0.87627,0.4773,2.37526,1.96364,0.00182,0.000421001,0.000421001,0.000421001
153,2009.85,2.28243,1.99024,0.00105,0.90603,0.86694,0.88481,0.47642,2.36443,2.02537,0.00181,0.000412749,0.000412749,0.000412749
154,2021.84,2.32497,1.95159,0.00107,0.90252,0.88728,0.89764,0.47245,2.39752,1.92094,0.00183,0.000404498,0.000404498,0.000404498
155,2038.23,2.29664,1.95895,0.00109,0.89842,0.86209,0.88238,0.4729,2.40465,1.94778,0.00183,0.000396246,0.000396246,0.000396246
156,2051.08,2.33352,1.9802,0.00106,0.88533,0.85133,0.88183,0.46431,2.43094,2.02007,0.00187,0.000387994,0.000387994,0.000387994
157,2064.26,2.30675,1.95762,0.00107,0.89554,0.88285,0.89585,0.47911,2.40442,1.9464,0.00184,0.000379743,0.000379743,0.000379743
158,2076.44,2.31836,1.93822,0.00109,0.88542,0.86536,0.8794,0.48007,2.3953,1.99927,0.00183,0.000371491,0.000371491,0.000371491
159,2088.53,2.33509,1.95637,0.00107,0.92971,0.87701,0.89288,0.47521,2.3988,1.95366,0.00184,0.000363239,0.000363239,0.000363239
160,2100.89,2.31694,1.94971,0.00107,0.90033,0.86823,0.87135,0.47506,2.38037,1.96393,0.00183,0.000354988,0.000354988,0.000354988
161,2112.93,2.29262,1.94761,0.00109,0.90411,0.85452,0.87422,0.47402,2.41826,1.94102,0.00187,0.000346736,0.000346736,0.000346736
162,2124.77,2.30224,1.92397,0.0011,0.91752,0.87145,0.88918,0.47551,2.41469,1.84873,0.00186,0.000338484,0.000338484,0.000338484
163,2137.1,2.28254,1.96879,0.00108,0.91851,0.84663,0.86714,0.4626,2.45344,1.9978,0.0019,0.000330233,0.000330233,0.000330233
164,2149.64,2.29219,1.95129,0.00107,0.89469,0.85687,0.88294,0.46413,2.43512,1.93638,0.00189,0.000321981,0.000321981,0.000321981
165,2161.87,2.29422,1.92623,0.00107,0.91767,0.86289,0.88543,0.47002,2.39961,1.90333,0.00184,0.000313729,0.000313729,0.000313729
166,2173.68,2.25348,1.93017,0.00106,0.88219,0.85886,0.87063,0.47111,2.4113,1.98885,0.00185,0.000305478,0.000305478,0.000305478
167,2185.76,2.26471,1.86562,0.00107,0.87988,0.84032,0.86917,0.474,2.44547,1.99005,0.0019,0.000297226,0.000297226,0.000297226
168,2198.07,2.29984,1.9199,0.00105,0.887,0.85266,0.86933,0.46184,2.42633,2.00921,0.00188,0.000288974,0.000288974,0.000288974
169,2210.4,2.30826,1.93517,0.00104,0.91133,0.85529,0.87964,0.46954,2.4154,1.99269,0.00186,0.000280723,0.000280723,0.000280723
